SKU,Name,Categories,Regular price,Sale price,Images,Short description,Description,In stock?,Published
KTV68034,Kệ tivi 150x40x55cm gỗ cao su,Phòng Khách > Kệ Tivi,3850000,,"/images/products/KTV68034-1.jpg, /images/products/KTV68034-2.jpg, /images/products/KTV68034-3.jpg, /images/products/KTV68034-4.jpg, /images/products/KTV68034-5.jpg, /images/products/KTV68034-6.jpg","Kệ đa năng, tối ưu không gian trưng bày và lưu trữ.","Kệ tivi 150x40x55cm gỗ cao su là giải pháp lưu trữ và trang trí linh hoạt, giúp không gian sống trở nên ngăn nắp và cuốn hút hơn.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 150x40x55cm
• Mã sản phẩm: KTV68034
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Kết cấu vững chắc, chịu tải trọng tốt cho nhiều loại đồ vật
• Thiết kế nhiều tầng linh hoạt, tối ưu không gian lưu trữ và trưng bày
• Kiểu dáng hiện đại, vừa lưu trữ vừa trang trí cho không gian
• Dễ dàng lắp đặt, di chuyển và vệ sinh

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng khách, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
KTB68141,Tủ để giày 2 cánh 60x35x112cm gỗ cao su chân sắt,Phòng Khách > Tủ Kệ Giày,2750000,,"/images/products/KTB68141-1.jpg, /images/products/KTB68141-2.jpg, /images/products/KTB68141-3.jpg, /images/products/KTB68141-4.jpg, /images/products/KTB68141-5.jpg, /images/products/KTB68141-6.jpg","Tủ lưu trữ tiện lợi, thiết kế gọn gàng.","Tủ để giày 2 cánh 60x35x112cm gỗ cao su chân sắt giúp tối ưu không gian lưu trữ, sắp xếp đồ đạc gọn gàng, khoa học mà vẫn đảm bảo tính thẩm mỹ cho căn phòng.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh; chân/khung sắt sơn tĩnh điện chắc chắn, chống gỉ sét
• Kích thước: 60x35x112cm
• Mã sản phẩm: KTB68141
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Nhiều ngăn/kệ chia hợp lý, tối ưu diện tích lưu trữ
• Hệ thống bản lề, tay nắm chắc chắn, đóng mở êm ái
• Bề mặt hoàn thiện chống trầy xước, dễ lau chùi
• Thiết kế kín đáo, giúp không gian luôn gọn gàng ngăn nắp

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng khách, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
TBTL001,Tủ bên hông tủ lạnh gỗ cao su,Bếp & Phòng Ăn > Phụ Kiện Bếp,2980000,,/images/products/TBTL001-1.jpg,"Phụ kiện tiện dụng, hỗ trợ không gian làm việc gọn gàng.","Tủ bên hông tủ lạnh gỗ cao su là phụ kiện hỗ trợ đắc lực, giúp không gian làm việc/sinh hoạt gọn gàng và tiện dụng hơn.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Mã sản phẩm: TBTL001
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Thiết kế nhỏ gọn, dễ dàng lắp đặt vào hệ bàn/ghế hiện có
• Chất liệu bền bỉ, chịu lực và chịu nhiệt tốt trong quá trình sử dụng
• Giúp không gian làm việc gọn gàng, khoa học hơn
• Tương thích với nhiều mẫu bàn/ghế khác nhau

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian bếp & phòng ăn, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
KB68076,Tủ kệ nhà bếp 117x45x193cm gỗ cao su,Bếp & Phòng Ăn > Tủ Kệ Nhà Bếp,8750000,,/images/products/KB68076-1.jpg,"Tủ lưu trữ tiện lợi, thiết kế gọn gàng.","Tủ kệ nhà bếp 117x45x193cm gỗ cao su giúp tối ưu không gian lưu trữ, sắp xếp đồ đạc gọn gàng, khoa học mà vẫn đảm bảo tính thẩm mỹ cho căn phòng.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 117x45x193cm
• Mã sản phẩm: KB68076
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Nhiều ngăn/kệ chia hợp lý, tối ưu diện tích lưu trữ
• Hệ thống bản lề, tay nắm chắc chắn, đóng mở êm ái
• Bề mặt hoàn thiện chống trầy xước, dễ lau chùi
• Thiết kế kín đáo, giúp không gian luôn gọn gàng ngăn nắp

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian bếp & phòng ăn, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
KB68082,Kệ bếp di động 3 tầng 64x40x89cm gỗ cao su,Bếp & Phòng Ăn > Tủ Bếp Mini,2100000,,"/images/products/KB68082-1.jpg, /images/products/KB68082-2.jpg, /images/products/KB68082-3.jpg, /images/products/KB68082-4.jpg, /images/products/KB68082-5.jpg, /images/products/KB68082-6.jpg","Tủ lưu trữ tiện lợi, thiết kế gọn gàng.","Kệ bếp di động 3 tầng 64x40x89cm gỗ cao su giúp tối ưu không gian lưu trữ, sắp xếp đồ đạc gọn gàng, khoa học mà vẫn đảm bảo tính thẩm mỹ cho căn phòng.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 64x40x89cm
• Mã sản phẩm: KB68082
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Nhiều ngăn/kệ chia hợp lý, tối ưu diện tích lưu trữ
• Hệ thống bản lề, tay nắm chắc chắn, đóng mở êm ái
• Bề mặt hoàn thiện chống trầy xước, dễ lau chùi
• Thiết kế kín đáo, giúp không gian luôn gọn gàng ngăn nắp

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian bếp & phòng ăn, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
BBA227,Combo bộ bàn Louis ghế ăn Solic,Bếp & Phòng Ăn > Bộ Bàn Ghế Ăn,3110000,2950000,/images/products/BBA227-1.jpg,"Ghế công thái học, êm ái và bền bỉ.","Combo bộ bàn Louis ghế ăn Solic mang đến trải nghiệm ngồi thoải mái, hỗ trợ tư thế đúng chuẩn cho thời gian sử dụng dài mà không gây mỏi mệt.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Chất liệu cao cấp, chọn lọc kỹ càng đảm bảo độ bền và tính thẩm mỹ
• Mã sản phẩm: BBA227
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Thiết kế công thái học, nâng đỡ tốt cho vùng lưng và cổ
• Khung ghế chắc chắn, chịu tải trọng tốt, đảm bảo an toàn khi sử dụng
• Đệm ngồi êm ái, thoáng khí, phù hợp ngồi làm việc/sinh hoạt trong thời gian dài
• Kiểu dáng hiện đại, dễ dàng kết hợp với nhiều không gian nội thất

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian bếp & phòng ăn, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
BBA222,Combo bàn ăn Ashley cho 4 người,Bếp & Phòng Ăn > Bộ Bàn Ghế Ăn,5390000,5120000,"/images/products/BBA222-1.jpg, /images/products/BBA222-2.jpg, /images/products/BBA222-3.jpg, /images/products/BBA222-4.jpg, /images/products/BBA222-5.jpg","Ghế công thái học, êm ái và bền bỉ.","Combo bàn ăn Ashley cho 4 người mang đến trải nghiệm ngồi thoải mái, hỗ trợ tư thế đúng chuẩn cho thời gian sử dụng dài mà không gây mỏi mệt.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Chất liệu cao cấp, chọn lọc kỹ càng đảm bảo độ bền và tính thẩm mỹ
• Mã sản phẩm: BBA222
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Thiết kế công thái học, nâng đỡ tốt cho vùng lưng và cổ
• Khung ghế chắc chắn, chịu tải trọng tốt, đảm bảo an toàn khi sử dụng
• Đệm ngồi êm ái, thoáng khí, phù hợp ngồi làm việc/sinh hoạt trong thời gian dài
• Kiểu dáng hiện đại, dễ dàng kết hợp với nhiều không gian nội thất

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian bếp & phòng ăn, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
GN68055,Giường ngủ 180x203x60cm gỗ cao su,Phòng Ngủ > Giường Ngủ,8760000,,"/images/products/GN68055-1.jpg, /images/products/GN68055-2.jpg, /images/products/GN68055-3.jpg, /images/products/GN68055-4.jpg, /images/products/GN68055-5.jpg, /images/products/GN68055-6.jpg","Giường ngủ chắc chắn, thiết kế hiện đại.","Giường ngủ 180x203x60cm gỗ cao su được thiết kế chú trọng vào sự chắc chắn và thoải mái, mang lại giấc ngủ ngon cho cả gia đình.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 180x203x60cm
• Mã sản phẩm: GN68055
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Khung giường chắc chắn, chịu lực tốt, đảm bảo độ bền lâu dài
• Thiết kế chân giường vững chãi, hạn chế phát ra tiếng động khi sử dụng
• Kiểu dáng tối giản hiện đại, dễ phối hợp nội thất phòng ngủ
• Dễ dàng lắp ráp và vệ sinh, bảo trì trong quá trình sử dụng

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng ngủ, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
GN68052,Giường ngủ lắp ráp 140x200cm gỗ cao su,Phòng Ngủ > Giường Ngủ,4950000,,"/images/products/GN68052-1.jpg, /images/products/GN68052-2.jpg, /images/products/GN68052-3.jpg, /images/products/GN68052-4.jpg, /images/products/GN68052-5.jpg, /images/products/GN68052-6.jpg","Giường ngủ chắc chắn, thiết kế hiện đại.","Giường ngủ lắp ráp 140x200cm gỗ cao su được thiết kế chú trọng vào sự chắc chắn và thoải mái, mang lại giấc ngủ ngon cho cả gia đình.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ cao su tự nhiên, đã qua xử lý chống mối mọt và cong vênh
• Kích thước: 140x200cm
• Mã sản phẩm: GN68052
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Khung giường chắc chắn, chịu lực tốt, đảm bảo độ bền lâu dài
• Thiết kế chân giường vững chãi, hạn chế phát ra tiếng động khi sử dụng
• Kiểu dáng tối giản hiện đại, dễ phối hợp nội thất phòng ngủ
• Dễ dàng lắp ráp và vệ sinh, bảo trì trong quá trình sử dụng

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng ngủ, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
CBSF68064,Combo bộ bàn ghế sofa Song Trúc gỗ Ash,Phòng Khách > Combo Phòng Khách,20500000,19475000,,"Bộ nội thất đồng bộ, tiện lợi và thẩm mỹ.","Combo bộ bàn ghế sofa Song Trúc gỗ Ash là bộ giải pháp nội thất đồng bộ, tiết kiệm thời gian lựa chọn mà vẫn đảm bảo sự hài hòa về phong cách.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Chất liệu cao cấp, chọn lọc kỹ càng đảm bảo độ bền và tính thẩm mỹ
• Mã sản phẩm: CBSF68064
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Bộ sản phẩm đồng bộ về màu sắc và phong cách thiết kế
• Tiết kiệm thời gian lựa chọn và phối hợp nội thất
• Chất lượng đồng đều giữa các món trong bộ
• Dễ dàng bố trí, phù hợp nhiều diện tích không gian

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng khách, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
CBSF68050,Combo bộ bàn ghế sofa chữ Z gỗ tự nhiên,Phòng Khách > Combo Phòng Khách,11780000,11190000,/images/products/CBSF68050-1.jpg,"Bộ nội thất đồng bộ, tiện lợi và thẩm mỹ.","Combo bộ bàn ghế sofa chữ Z gỗ tự nhiên là bộ giải pháp nội thất đồng bộ, tiết kiệm thời gian lựa chọn mà vẫn đảm bảo sự hài hòa về phong cách.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Gỗ tự nhiên nguyên khối, độ bền cao
• Mã sản phẩm: CBSF68050
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Bộ sản phẩm đồng bộ về màu sắc và phong cách thiết kế
• Tiết kiệm thời gian lựa chọn và phối hợp nội thất
• Chất lượng đồng đều giữa các món trong bộ
• Dễ dàng bố trí, phù hợp nhiều diện tích không gian

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian phòng khách, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
CBSF021,"Bộ bàn ghế sofa, bàn ghế cafe",Bàn ghế Cafe - Ngoài trời > Bộ Bàn Ghế Cafe,4989000,4690000,/images/products/CBSF021-1.jpg,"Ghế công thái học, êm ái và bền bỉ.","Bộ bàn ghế sofa, bàn ghế cafe mang đến trải nghiệm ngồi thoải mái, hỗ trợ tư thế đúng chuẩn cho thời gian sử dụng dài mà không gây mỏi mệt.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Chất liệu cao cấp, chọn lọc kỹ càng đảm bảo độ bền và tính thẩm mỹ
• Mã sản phẩm: CBSF021
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Thiết kế công thái học, nâng đỡ tốt cho vùng lưng và cổ
• Khung ghế chắc chắn, chịu tải trọng tốt, đảm bảo an toàn khi sử dụng
• Đệm ngồi êm ái, thoáng khí, phù hợp ngồi làm việc/sinh hoạt trong thời gian dài
• Kiểu dáng hiện đại, dễ dàng kết hợp với nhiều không gian nội thất

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian bàn ghế cafe - ngoài trời, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
CBCF351,Combo bàn bộ bàn ghế cafe sắt,Bàn ghế Cafe - Ngoài trời > Bộ Bàn Ghế Cafe,2590000,2460000,"/images/products/CBCF351-1.jpg, /images/products/CBCF351-2.jpg, /images/products/CBCF351-3.jpg","Ghế công thái học, êm ái và bền bỉ.","Combo bàn bộ bàn ghế cafe sắt mang đến trải nghiệm ngồi thoải mái, hỗ trợ tư thế đúng chuẩn cho thời gian sử dụng dài mà không gây mỏi mệt.

THÔNG SỐ KỸ THUẬT
• Chất liệu: Chất liệu cao cấp, chọn lọc kỹ càng đảm bảo độ bền và tính thẩm mỹ
• Mã sản phẩm: CBCF351
• Bảo hành: 12 tháng

CÔNG NĂNG NỔI BẬT
• Thiết kế công thái học, nâng đỡ tốt cho vùng lưng và cổ
• Khung ghế chắc chắn, chịu tải trọng tốt, đảm bảo an toàn khi sử dụng
• Đệm ngồi êm ái, thoáng khí, phù hợp ngồi làm việc/sinh hoạt trong thời gian dài
• Kiểu dáng hiện đại, dễ dàng kết hợp với nhiều không gian nội thất

PHÙ HỢP KHÔNG GIAN
• Phù hợp bố trí trong không gian bàn ghế cafe - ngoài trời, mang lại sự tiện nghi và thẩm mỹ cho tổng thể không gian.",instock,1
